Weekly period,North East,,,,,North West,,,,,Yorkshire and The Humber,,,,,East Midlands,,,,,West Midlands,,,,,East of England,,,,,London,,,,,South East,,,,,South West,,,,
,Modelled % testing positive for COVID-19 antibodies,95% Lower credible interval,95% Upper credible interval,Number of people testing positive for COVID-19 antibodies,Number of people in sample,Modelled % testing positive for COVID-19 antibodies,95% Lower credible interval,95% Upper credible interval,Number of people testing positive for COVID-19 antibodies,Number of people in sample,Modelled % testing positive for COVID-19 antibodies,95% Lower credible interval,95% Upper credible interval,Number of people testing positive for COVID-19 antibodies,Number of people in sample,Modelled % testing positive for COVID-19 antibodies,95% Lower credible interval,95% Upper credible interval,Number of people testing positive for COVID-19 antibodies,Number of people in sample,Modelled % testing positive for COVID-19 antibodies,95% Lower credible interval,95% Upper credible interval,Number of people testing positive for COVID-19 antibodies,Number of people in sample,Modelled % testing positive for COVID-19 antibodies,95% Lower credible interval,95% Upper credible interval,Number of people testing positive for COVID-19 antibodies,Number of people in sample,Modelled % testing positive for COVID-19 antibodies,95% Lower credible interval,95% Upper credible interval,Number of people testing positive for COVID-19 antibodies,Number of people in sample,Modelled % testing positive for COVID-19 antibodies,95% Lower credible interval,95% Upper credible interval,Number of people testing positive for COVID-19 antibodies,Number of people in sample,Modelled % testing positive for COVID-19 antibodies,95% Lower credible interval,95% Upper credible interval,Number of people testing positive for COVID-19 antibodies,Number of people in sample
07 December 2020 to 13 December 2020,12.3,9.6,15.5,29,305,14.7,12.2,17.7,79,665,13,10.4,16,54,571,9.7,7.7,12.1,45,613,13.4,11,16.3,50,592,8.5,6.8,10.6,43,719,17.6,14.5,21,77,668,7.9,6.3,9.8,37,553,5.5,4.2,7.1,23,557
14 December 2020 to 20 December 2020,12.8,10.3,15.7,32,427,15.4,12.9,18.2,118,970,13.6,11.1,16.4,46,577,10.3,8.4,12.6,38,501,14.2,11.8,17,54,568,9.4,7.7,11.4,65,787,19.1,16.1,22.4,127,957,8.5,7,10.3,65,918,6.1,4.8,7.7,23,622
21 December 2020 to 27 December 2020,12.9,10.5,15.7,20,179,15.6,13.1,18.5,53,462,13.8,11.5,16.6,26,279,10.7,8.7,13.1,12,187,14.6,12.2,17.4,41,282,10,8.3,12.2,21,446,20,16.9,23.4,89,546,8.9,7.3,10.9,16,420,6.6,5.2,8.2,15,333
28 December 2020 to 03 January 2021,13,10.8,15.7,24,263,15.8,13.4,18.6,73,693,14,11.8,16.7,56,473,11.2,9.3,13.4,39,482,15.1,12.8,17.9,53,429,10.8,9.1,12.9,59,705,20.9,17.8,24.2,124,813,9.4,7.9,11.3,39,703,7.2,5.9,8.7,25,440
04 January 2021 to 10 January 2021,14.6,12.2,17.4,45,404,17.8,15.3,20.7,145,"1,136",15.8,13.5,18.7,72,634,12.9,10.9,15.3,70,653,17.2,14.8,20.1,91,711,13,11,15.3,106,"1,030",23.6,20.4,27.1,249,"1,342",11.1,9.4,13.2,102,"1,003",8.8,7.3,10.5,52,782
11 January 2021 to 17 January 2021,15.1,12.8,17.9,49,478,18.4,16,21.2,153,"1,229",16.4,14,19.1,66,644,13.6,11.6,15.9,74,668,17.9,15.5,20.7,105,743,14,11.9,16.4,112,908,24.3,21.2,27.7,257,"1,329",11.8,10.1,13.9,104,969,9.7,8.1,11.5,59,866
18 January 2021 to 24 January 2021,16.8,14.3,19.7,47,379,20.4,17.8,23.4,163,"1,041",18.2,15.7,21.1,98,734,15.4,13.2,18,55,582,19.9,17.3,22.9,89,589,16,13.8,18.6,124,"1,026",26.4,23.2,30,339,"1,610",13.5,11.5,15.7,97,835,11.4,9.7,13.5,80,738
25 January 2021 to 31 January 2021,18.9,16.1,22,46,289,22.9,20,26.1,125,732,20.4,17.6,23.5,89,524,17.5,15.1,20.3,65,463,22.3,19.4,25.5,124,573,18.5,15.9,21.3,98,719,28.7,25.2,32.4,233,"1,016",15.5,13.3,18,102,781,13.6,11.6,15.9,76,646
01 February 2021 to 07 February 2021,21.4,18.6,24.7,68,419,25.8,22.8,29.1,264,"1,175",22.9,20.1,26.1,115,640,20.1,17.5,23,120,636,25.1,22.2,28.4,150,734,21.4,18.8,24.4,188,882,31,27.6,34.9,306,"1,189",18,15.8,20.7,133,859,16.4,14.2,18.9,106,701
08 February 2021 to 14 February 2021,25.2,22,28.7,118,451,30.1,26.8,33.7,332,"1,090",26.8,23.7,30.3,171,716,24.1,21.2,27.3,137,635,29.3,26.1,32.8,177,737,25.5,22.6,28.8,237,892,34.6,30.8,38.6,436,"1,476",21.8,19.2,24.7,177,891,20.5,17.9,23.3,145,782
15 February 2021 to 21 February 2021,29.4,26.1,33.3,107,430,34.8,31.3,38.5,508,"1,383",31.2,27.8,34.8,234,809,28.7,25.6,32.1,164,634,34,30.6,37.6,275,753,30.3,27.1,33.7,296,"1,005",38.2,34.4,42.3,585,"1,592",26.3,23.4,29.5,307,"1,129",25.5,22.6,28.6,246,889
22 February 2021 to 28 February 2021,35.2,31.6,39.2,118,319,40.6,37,44.4,444,"1,073",36.8,33.3,40.6,288,727,34.9,31.7,38.5,234,592,39.8,36.4,43.7,317,668,36.4,33.1,40,349,890,42.4,38.5,46.4,707,"1,741",32.3,29.3,35.7,374,996,32.1,29,35.4,343,898
01 March 2021 to 07 March 2021,40.5,36.7,44.5,201,424,45.7,42.2,49.6,606,"1,235",42.1,38.6,46,306,682,40.8,37.3,44.5,292,619,45.3,41.8,49.1,418,877,41.9,38.5,45.6,540,"1,052",46.5,42.6,50.5,760,"1,655",38,34.9,41.6,546,"1,214",38.2,35,41.7,386,826
08 March 2021 to 14 March 2021,45.2,41.3,49.3,214,405,50.6,46.9,54.5,606,"1,107",47,43.3,50.9,408,780,46.2,42.5,50.1,334,642,50.5,46.8,54.4,369,671,47,43.4,50.8,510,916,50.9,46.9,55,743,"1,472",43.4,39.9,47.1,512,"1,017",43.6,40,47.3,449,824
